,wikidata_uri,company name,description,country,instance of,inception,official website,industry,founded by
1043,http://www.wikidata.org/entity/Q12631567,Histrion acting troupe,Croatian theater troupe,Croatia,['theatre company'],1975-07-11,https://histrion.hr/,['creative industries'],Zlatko Vitez
1044,http://www.wikidata.org/entity/Q3123324,"HKS, Inc.",American international architecture firm,United States of America,['architectural firm'],1939-01-01,https://www.hksinc.com/,['architecture'],Harwood K. Smith
1045,http://www.wikidata.org/entity/Q2928594,BuroHappold Engineering,British professional services firm,United Kingdom,['architectural firm'],1976-01-01,http://www.burohappold.com/,['construction'],Edmund Happold
1046,http://www.wikidata.org/entity/Q4787037,Architectural Resources Group,"firm based in San Francisco, US",United States of America,['architectural firm'],1980-01-01,http://www.argsf.com/,['architecture'],Bruce Judd
1047,http://www.wikidata.org/entity/Q18610755,Au B'izou,"theatre company in Anderlecht, Brussels, Belgium",Belgium,['theatre company'],2009-01-30,http://www.aubizou.be,['creative industries'],Iza Loris
1048,http://www.wikidata.org/entity/Q16839561,Golden Thread Productions,San Francisco-based theatre company,United States of America,['theatre company' 'theatre troupe'],1996-01-01,https://goldenthread.org/,['creative industries'],Torange Yeghiazarian
1049,http://www.wikidata.org/entity/Q17762495,Cirka Teater,theatre company in Norway,Norway,['theatre company' 'theatre company'],1984-01-01,http://cirkateater.no/,['creative industries'],Gilles Berger
1050,http://www.wikidata.org/entity/Q18662259,Tampere Comedy Theater,"theatre company in Tampere, Finland",Finland,['theatre company'],1991-01-01,https://www.komediateatteri.fi/,['creative industries'],Tapio Parkkinen
1051,http://www.wikidata.org/entity/Q3197998,Knight Frank,London based residential and commercial property consultancy firm,United Kingdom,['limited liability partnership'],1896-01-01,https://www.knightfrank.com/,['estate agent' 'property management'],Howard Frank
1052,http://www.wikidata.org/entity/Q5609340,Grimshaw Architects,British architecture firm founded by Nicholas Grimshaw,United Kingdom,['architectural firm'],1984-01-01,http://www.grimshaw-architects.com,['architecture'],Nicholas Grimshaw
1053,http://www.wikidata.org/entity/Q5908851,IDOM,"Consulting, Engineering, Architecture company based in Bilbao, Spain",Spain,['business' 'architectural firm'],1957-01-01,https://www.idom.com/es/,['consulting company'],Rafael Escolá
1054,http://www.wikidata.org/entity/Q6714235,MAKE Architects,British architecture studio,United Kingdom,['architectural firm'],2004-01-01,http://www.makearchitects.com,['architecture'],Ken Shuttleworth
1055,http://www.wikidata.org/entity/Q6138310,Ricardo Bofill Taller de Arquitectura,Spanish architecture firm,Spain,['architectural firm'],1963-01-01,http://www.ricardobofill.com/,['architecture'],Ricardo Bofill
1056,http://www.wikidata.org/entity/Q55536982,Syake-Speare,Japanese theatre company,Japan,['theatre company'],2005-01-01,https://syake-speare.com/,['creative industries'],Yuuri Nakagome
1057,http://www.wikidata.org/entity/Q55840983,Black Theatre Co-operative,London-based musical theatre company,United Kingdom,['theatre company' 'charitable organization' 'cooperative'],1979-01-01,http://www.nitrobeat.co.uk/,['creative industries'],Charlie Hanson
1058,http://www.wikidata.org/entity/Q65371,Svyaznoy,Russian–Dutch company,Russia,['privately held company' 'naamloze vennootschap'],1995-01-01,https://www.svyaznoy.ru,['retail'],Maksim Nogotkov
1059,http://www.wikidata.org/entity/Q11852606,Arkkitehdit NRT,Finnish architectural firm,Finland,['architectural firm'],1979-01-01,http://n-r-t.fi/2/,['architecture'],Jyrki Tasa
1060,http://www.wikidata.org/entity/Q76305805,Collapsing Horse,Irish theatre company,Ireland,"['nonprofit organization' 'theatre company'
 'private company limited by guarantee' 'artist-in-residence']",2011-01-01,http://collapsinghorsetheatre.com/,['creative industries'],Dan Colley
1061,http://www.wikidata.org/entity/Q64523740,Artistic Organization Morfes Ekfrasis,Greek theatre company,Greece,['theatre company'],1993-01-01,https://www.morfesekfrasis.gr,['creative industries'],Thomas Kindynis
1062,http://www.wikidata.org/entity/Q75388541,Neworld Theatre,"theatre company based in Vancouver, BC,Canada",Canada,['theatre company'],1994-01-01,https://neworldtheatre.com/,['creative industries'],Camyar Chai
1063,http://www.wikidata.org/entity/Q96791543,Yeezy LLC,American clothing company,United States of America,['private limited company'],2016-05-17,https://yeezy.com,['footwear industry'],Kanye West
1064,http://www.wikidata.org/entity/Q116443744,Buscoresi,Online platform for rental student housing,Spain,"['business' 'private limited company' 'company' 'startup company'
 'website']",2021-01-01,https://buscoresi.com,['student housing'],Victor Ramirez
1065,http://www.wikidata.org/entity/Q128031910,Cyberspace Peace Company Limited,cybersecurity company in Vietnam,Vietnam,['private limited company'],2023-07-19,https://cypeace.net/,['information technology' 'information security'],Manh Pham
1066,http://www.wikidata.org/entity/Q16968166,Yamasaki & Associates,American architectural firm,United States of America,['architectural firm'],1955-01-01,http://www.yamasakiinc.com/,['architectural firm'],Minoru Yamasaki
1067,http://www.wikidata.org/entity/Q85847004,Purple Rose Theatre Company,"business in Chelsea, Michigan, USA",United States of America,['theatre building' 'nonprofit organization' 'theatre company'],1991-01-01,https://www.purplerosetheatre.org/,['creative industries'],Jeff Daniels
1068,http://www.wikidata.org/entity/Q287753,La Caixa,"Spanish foundation, owner of CriteriaCaixa and its subsidiaries, including CaixaBank",Spain,['savings bank' 'nonprofit organization' 'cultural foundation'],2014-06-17,https://fundacionlacaixa.org/en/,['corporate group'],Lluís Ferrer-Vidal i Soler
1069,http://www.wikidata.org/entity/Q21426201,Koskipanimo,Finnish microbrewery,Finland,['microbrewery' 'brewpub' 'business'],1994-01-01,https://www.plevna.fi/,['brewing'],Timo Tähtinen
1070,http://www.wikidata.org/entity/Q62060774,Atelier TAG,Canadian architectural firm,Canada,['architectural firm'],1997-01-01,https://www.ateliertag.com/,['architecture'],Manon Asselin
1071,http://www.wikidata.org/entity/Q90890785,Divadlo Járy Cimrmana,theatre company in the Czech Republic,Czech Republic,['theatre company'],1966-10-01,http://www.cimrman.at/,['creative industries'],Jiří Šebánek
1072,http://www.wikidata.org/entity/Q90896715,Česká Händelova společnost,theatre company in the Czech Republic,Czech Republic,['theatre company'],1990-03-28,http://haendel.cz/index.html,['creative industries'],Michaela Freemanová
1073,http://www.wikidata.org/entity/Q787604,BOTAŞ,company,Turkey,['enterprise' 'business'],1974-01-01,http://www.botas.gov.tr/defaultEN.asp,['petroleum industry'],Turkish Petroleum Corporation
1074,http://www.wikidata.org/entity/Q790020,Bang & Olufsen,Danish multinational audio equipment manufacturer and retail chain,Denmark,['public company' 'business' 'enterprise'],1925-11-17,https://www.bang-olufsen.com/,['electronics'],Svend Olufsen
1075,http://www.wikidata.org/entity/Q790068,Bank of China,state-owned bank in China,People's Republic of China,['business' 'credit institution' 'Chinese state-owned enterprise'],1912-01-01,https://www.boc.cn,['financial sector'],Chen Jintao
1076,http://www.wikidata.org/entity/Q784804,AutoNation,"American automotive retailer based in Fort Lauderdale, Florida",United States of America,['public company' 'business'],1996-01-01,https://www.autonation.com/,['retail'],Wayne Huizenga
1077,http://www.wikidata.org/entity/Q787915,Marelli Automotive Lighting,manufacturer of automotive lamps,Germany,['business'],1999-01-01,http://www.al-lighting.com,['automotive supplier'],Magneti Marelli
1078,http://www.wikidata.org/entity/Q795900,BGI Genomics,Chinese biotechnology company,People's Republic of China,"['scientific organization' 'public company' 'business'
 'research institute']",1999-09-09,https://www.genomics.cn/,['genetic engineering'],Wang Jian
1079,http://www.wikidata.org/entity/Q795454,Barnes & Noble,American book retailer,United States of America,['public company' 'bookstore chain' 'enterprise' 'business'],1873-01-01,https://www.barnesandnoble.com/,['bookselling'],Leonard Riggio
1080,http://www.wikidata.org/entity/Q793780,Scarfilm,company,Belgium,['business'],1976-01-01,http://www.scarfilm.net/,['cinematography'],Gérald Frydman
1081,http://www.wikidata.org/entity/Q796309,BMC Software,software development company,United States of America,['enterprise' 'business'],1980-01-01,https://www.bmc.com/,['software industry'],John Moores
1082,http://www.wikidata.org/entity/Q795473,Ahold,company,Netherlands,['enterprise' 'public company' 'business'],1887-01-01,http://www.ahold.com,['retail'],Albert Heijn
1083,http://www.wikidata.org/entity/Q795474,Cevital,Algerian multinational company,Algeria,['conglomerate' 'business'],1998-01-01,http://www.cevital.com/,['industrial sector' 'logistics' 'agribusiness' 'mass-market retailing'],Issad Rebrab
1084,http://www.wikidata.org/entity/Q796197,Robinson Helicopter Company,helicopter manufacturer in the United States,United States of America,['enterprise' 'business'],1973-01-01,http://www.robinsonheli.com,['aerospace'],Frank D. Robinson
1085,http://www.wikidata.org/entity/Q804327,Blancpain,Swiss luxury watch manufacturer,Switzerland,['business'],1735-01-01,http://www.blancpain.ch,['horology'],Jehan-Jacques Blancpain
1086,http://www.wikidata.org/entity/Q797609,Babcock & Wilcox,company,United States of America,['business' 'enterprise' 'public company'],1867-01-01,http://www.babcock.com/,['manufacturing'],Stephen Wilcox
1087,http://www.wikidata.org/entity/Q803640,Bahrain Petroleum Company,company,Bahrain,['gas station chain' 'business'],1929-01-01,http://www.bapco.net,['petroleum industry'],Chevron Corporation
1088,http://www.wikidata.org/entity/Q803873,Bain Capital,"American alternative investment firm specialized in private equity, venture capital and credit products",United States of America,['business' 'enterprise'],1984-01-01,http://www.baincapital.com/,['financial services'],Mitt Romney
1089,http://www.wikidata.org/entity/Q806085,Banana Republic,American clothing and accessories retailer,United States of America,['clothing store chain' 'enterprise' 'business'],1978-01-01,https://bananarepublic.gap.com/,['retail'],Patricia Ziegler
1090,http://www.wikidata.org/entity/Q809749,Basalt-Actien-Gesellschaft,business,German Reich,['enterprise' 'business'],1888-06-02,http://basaltag.de,"['other mining and quarrying'
 'quarrying of ornamental and building stone, limestone, gypsum, chalk and slate']",Wilhelm Zervas
1091,http://www.wikidata.org/entity/Q809999,Basic Element,Russian industrial group,Russia,['enterprise' 'business' 'industrial group'],1997-01-01,http://www.sibal.ru/en/,['aluminium industry'],Oleg Deripaska
1092,http://www.wikidata.org/entity/Q806252,Bandai Visual,Japanese entertainment company,Japan,['enterprise' 'business'],1983-08-23,https://v-storage.bnarts.jp,['video game industry' 'film industry'],Bandai
1093,http://www.wikidata.org/entity/Q806323,Bandini Automobili,company,Italy,['automobile manufacturer' 'business'],1938-01-01,https://www.bandiniautomobili.it,['automotive industry'],Ilario Bandini
1094,http://www.wikidata.org/entity/Q809994,Basic AG,former German organic supermarket chain,Germany,['business'],1997-01-01,https://basicbio.de,['food retail sector'],Georg Schweisfurth
1095,http://www.wikidata.org/entity/Q807019,Banyan Tree Holdings,company,Singapore,['business'],2000-01-01,https://www.banyantree.com/en/,['hotel industry'],Ho Kwon Ping
1096,http://www.wikidata.org/entity/Q808908,Barrick Gold,company,Canada,['public company' 'enterprise' 'business'],1983-01-01,https://www.barrick.com/Spanish/inicio/default.aspx,['mining'],Peter Munk
1097,http://www.wikidata.org/entity/Q814570,Behringwerke,"former pharmaceutical company, today biotech cluster in Germany",German Reich,['business' 'business cluster'],1914-01-01,http://www.behringwerke.de/,"['manufacture of basic pharmaceutical products and pharmaceutical preparations'
 'chemical industry']",Emil von Behring
1098,http://www.wikidata.org/entity/Q810773,Bath & Body Works,"American retailer under the L Brands (formerly Limited Brands) umbrella, along with Victoria's Secret.",United States of America,['business' 'public company'],1990-01-01,https://www.bathandbodyworks.com,['cosmetics industry' 'final good'],Les Wexner
1099,http://www.wikidata.org/entity/Q813780,Becton Dickinson,company,United States of America,['medical device company' 'public company' 'business'],1897-01-01,http://www.bd.com/,['biotechnology'],Fairleigh S. Dickinson
1100,http://www.wikidata.org/entity/Q815817,Bellator MMA,American mixed martial arts promoter,United States of America,['sports organization' 'business' 'mixed martial arts organization'],2008-01-01,https://bellator.com/,['mixed martial arts' 'sports marketing' 'promoter'],Bjorn Rebney
1101,http://www.wikidata.org/entity/Q813639,Bechtel,American construction and civil engineering company,United States of America,['enterprise' 'business'],1906-01-01,http://www.bechtel.com,['engineering'],Warren A. Bechtel
1102,http://www.wikidata.org/entity/Q817209,ESET,Slovak internet security company,Slovakia,['enterprise' 'business'],1992-01-01,http://www.eset.com,['software industry'],Miroslav Trnka
1103,http://www.wikidata.org/entity/Q818846,Novo Nordisk,Danish pharmaceutical company,Denmark,['public company' 'business' 'enterprise' 'pharmaceutical company'],1923-01-01,https://www.novonordisk.com,['pharmaceutical industry'],Marie Krogh
1104,http://www.wikidata.org/entity/Q816412,Ben & Jerry's,American ice cream company,United States of America,['business' 'ice cream parlor chain' 'food brand' 'enterprise'],1978-01-01,https://www.benjerry.co.uk/,['ice cream manufacturer'],Ben Cohen
1105,http://www.wikidata.org/entity/Q819241,Wrigley Company,"American company headquartered in Chicago, Illinois",United States of America,['business'],1891-04-01,https://www.mars.com/made-by-mars/mars-wrigley,['food industry'],William Wrigley
1106,http://www.wikidata.org/entity/Q824278,Six Flags,former amusement park operator,United States of America,['enterprise' 'public company' 'business'],1961-01-01,https://www.sixflags.com,['leisure industries'],Angus G. Wynne
1107,http://www.wikidata.org/entity/Q827258,Bershka,"clothing retailer, part of the Spanish Inditex group",Spain,['brick and mortar' 'business' 'clothing store chain' 'enterprise'],1998-04-01,https://www.bershka.com,['retail'],Amancio Ortega
1108,http://www.wikidata.org/entity/Q833111,Louis Dreyfus Group,"French-Dutch merchant firm that is involved in agriculture, food processing, international shipping, and finance",France,['business' 'enterprise'],1851-01-01,http://www.louisdreyfus.com/,['agricultural and food trade' 'trade'],Léopold Louis-Dreyfus
1109,http://www.wikidata.org/entity/Q833474,Verbio,Producer of biofuels and chemical products,Germany,['business'],2006-01-01,https://www.verbio.de/,['chemical industry' 'energy industry'],Claus Sauter
1110,http://www.wikidata.org/entity/Q832533,Gerresheimer,company,German Reich,['business'],1864-01-01,http://gerresheimer.de,"['other mining and quarrying' 'manufacture of hollow glass'
 'manufacturing']",Ferdinand Heye
1111,http://www.wikidata.org/entity/Q834077,Rohm and Haas,company,United States of America,['enterprise' 'business'],1909-09-01,http://www.rohmhaas.com,['chemical industry'],Otto Haas
1112,http://www.wikidata.org/entity/Q832434,Better Place,company,United States of America,['defunct organization' 'business'],2007-10-29,http://www.betterplace.com/,['transport'],Shai Agassi
1113,http://www.wikidata.org/entity/Q830235,Besson,trademark,France,"['company-manufacturer of music accessories'
 'musical instrument manufacturing company' 'business' 'trademark']",1837-01-01,https://www.besson.com/fr/,['musical instrument'],Gustave Auguste Besson
1114,http://www.wikidata.org/entity/Q832101,Moeck Musikinstrumente + Verlag,publisher,Germany,"['musical instrument manufacturing company' 'publishing company'
 'business']",1925-01-01,https://www.moeck.com,['musical instrument making'],Hermann Moeck
1115,http://www.wikidata.org/entity/Q833217,George Weston Limited,company,Canada,['public company' 'business'],1882-01-01,http://www.weston.ca,['food industry'],George Weston
1116,http://www.wikidata.org/entity/Q842108,Euronext,pan-European bourse,France,['business' 'public company'],2000-09-22,https://www.euronext.com/,['financial services'],Amsterdam Stock Exchange
1117,http://www.wikidata.org/entity/Q842437,YTL Corporation,Malaysian infrastructure conglomerate,Malaysia,['public company' 'business'],1955-01-01,http://www.ytl.com.my/,['public utility'],Yeoh Tiong Lay
1118,http://www.wikidata.org/entity/Q837298,Altana,German chemical company,Germany,['business' 'enterprise'],1977-01-01,https://www.altana.com/,['chemical industry'],Herbert Quandt
1119,http://www.wikidata.org/entity/Q835702,Alludo,"software company headquartered in Ottawa, Ontario",Canada,['business'],1985-01-01,https://alludo.com,['software industry'],Michael Cowpland
1120,http://www.wikidata.org/entity/Q835969,Steilmann,Company,Germany,['enterprise' 'business'],1958-01-01,http://www.steilmann-se.com,['textile industry'],Klaus Steilmann
1121,http://www.wikidata.org/entity/Q839555,Lands' End,company,United States of America,['public company' 'business'],1963-01-01,https://www.landsend.com/,['retail'],Gary Comer
1122,http://www.wikidata.org/entity/Q835487,MCM Worldwide,German luxury goods house,Germany,['business'],1976-01-01,http://www.mcmworldwide.com/,['clothing industry'],Michael Cromer
1123,http://www.wikidata.org/entity/Q835456,Sun Life Financial,Canadian insurance company,Canada,['public company' 'enterprise' 'business'],1865-01-01,https://www.sunlife.ca,['financial services'],Matthew Hamilton Gault
1124,http://www.wikidata.org/entity/Q837178,DigitAlb,company,Albania,['business'],2004-07-15,http://www.digitalb.al/,['telecommunications'],Dritan Hoxha
1125,http://www.wikidata.org/entity/Q838015,Global IP Solutions,company,United States of America,['business'],1999-01-01,http://www.gipscorp.com/,['Voice over IP'],Bastiaan Kleijn
1126,http://www.wikidata.org/entity/Q836679,Huntley & Palmers,British food company specialised in biscuits,United Kingdom,['enterprise' 'business'],1822-01-01,https://www.huntleyandpalmers.com/,['food industry'],Joseph Huntley
1127,http://www.wikidata.org/entity/Q838725,Hurtigruten Group,Norwegian shipping company,Norway,['public company' 'business'],1866-01-01,https://www.hurtigruten.com,['cruise line'],Richard With
1128,http://www.wikidata.org/entity/Q842174,"Eddie Bauer Holdings, Inc.",American clothing company,United States of America,['privately held company' 'business' 'enterprise'],1920-01-01,https://www.eddiebauer.com/,['retail'],Eddie Bauer
1129,http://www.wikidata.org/entity/Q843887,Hermès,French luxury goods manufacturer,France,['brick and mortar' 'business'],1837-01-01,https://www.hermes.com/,['fashion' 'activities of head offices'],Thierry Hermès
1130,http://www.wikidata.org/entity/Q845330,Zellers,retail company,Canada,['business'],1931-01-01,https://zellers.thebay.com/,['retail'],Walter P. Zeller
1131,http://www.wikidata.org/entity/Q844073,Yuengling,the oldest operating brewing company in the United States,United States of America,['business'],1829-01-01,http://www.yuengling.com/,['beverage industry'],David Yuengling
1132,http://www.wikidata.org/entity/Q844871,ESP Guitars,Japanese guitar manufacturer,Japan,['musical instrument manufacturing company' 'business'],1975-01-01,https://www.espguitars.com/main,['musical instrument manufacturing company'],Hisatake Shibuya
1133,http://www.wikidata.org/entity/Q845042,OKBM Afrikantov,company,Russia,['enterprise' 'business'],1947-01-01,http://www.okbm.nnov.ru/english,['nuclear engineering'],Igor Afrikantov
1134,http://www.wikidata.org/entity/Q843451,NST Niigata Sogo Television,Japanese television station,Japan,['business' 'television station'],1968-12-16,http://www.nsttv.com/,['television network'],Jūkichi Komagata
1135,http://www.wikidata.org/entity/Q848977,Harland and Wolff,Northern Irish heavy industrial company,United Kingdom,['shipyard' 'enterprise' 'business'],1861-04-11,https://www.harland-wolff.com/,['vehicle construction' 'offshore construction' 'shipbuilding'],Edward Harland
1136,http://www.wikidata.org/entity/Q860580,Tencent,Chinese multinational investment holding conglomerate,People's Republic of China,['conglomerate' 'business'],1998-11-12,https://www.tencent.com/,['information technology' 'video game industry'],Daniel Xu
1137,http://www.wikidata.org/entity/Q849363,The Vanguard Group,American investment management company,United States of America,['company' 'enterprise' 'business'],1975-05-01,https://investor.vanguard.com/,['financial services'],John C. Bogle
1138,http://www.wikidata.org/entity/Q852787,Groupon,American worldwide e-commerce marketplace,United States of America,['public company' 'business'],2008-01-01,http://www.groupon.com/,['e-commerce'],Andrew Mason
1139,http://www.wikidata.org/entity/Q853110,"Beyer, Peacock and Company",Railway locomotive manufacturer,United Kingdom,['business'],1854-01-01,http://beyerpeacock.co.uk,['vehicle construction' 'locomotive manufacturing'],Charles Beyer
1140,http://www.wikidata.org/entity/Q847743,Dunkin' Donuts,American global donut company and coffeehouse,United States of America,['business' 'fast food restaurant chain'],2019-01-01,https://www.dunkindonuts.com/,['fast food restaurant chain' 'fast food industry'],William Rosenberg
1141,http://www.wikidata.org/entity/Q848059,Mahindra & Mahindra,Indian multinational automobile manufacturer,India,['enterprise' 'business' 'public company' 'automobile manufacturer'],1945-10-02,http://www.mahindra.com,['automotive industry'],Jagdish Chandra Mahindra
1142,http://www.wikidata.org/entity/Q854820,Bharat Heavy Electricals Limited,company,India,['enterprise' 'public company' 'business'],1964-01-01,http://www.bhel.com/,['aerospace'],Government of India
1143,http://www.wikidata.org/entity/Q859635,Bigelow Aerospace,American space technology company,United States of America,['privately held company' 'startup company' 'business'],1999-01-01,http://bigelowaerospace.com/,['aerospace industry'],Robert Bigelow
1144,http://www.wikidata.org/entity/Q848490,Roland Corporation,Japanese audiovisual equipment company,Japan,['business' 'musical instrument manufacturing company'],1972-04-18,http://www.roland.com,['software industry' 'musical instrument maker'],Ikutaro Kakehashi
1145,http://www.wikidata.org/entity/Q851361,Huntsman Corporation,American company,United States of America,['public company' 'enterprise' 'business'],1982-01-01,http://www.huntsman.com/,['chemical industry'],Jon Huntsman Sr.
1146,http://www.wikidata.org/entity/Q851641,Equinix,data center and colocation infrastructure provider ICR EQUINIX,United States of America,['public company' 'business'],1998-06-22,https://www.equinix.com,['Internet'],Jay Adelson
1147,http://www.wikidata.org/entity/Q854437,"Palm, Inc.",1992–2010 American electronics company,United States of America,['business' 'enterprise'],1992-01-01,http://www.palm.com/,['software industry' 'electronics industry'],Jeff Hawkins
1148,http://www.wikidata.org/entity/Q854867,Bharti Airtel,Indian multinational telecommunications company,India,['public company' 'enterprise' 'business'],1990-07-01,https://www.airtel.com,['telecommunications'],Sunil Mittal
1149,http://www.wikidata.org/entity/Q856897,Kellanova,American food company,United States of America,['enterprise' 'public company' 'business'],1906-01-01,https://www.kelloggcompany.com/en_US/home.html,['fast-moving consumer goods' 'food industry'],Will Keith Kellogg
1150,http://www.wikidata.org/entity/Q864338,Biogen,American multinational biotechnology company,United States of America,['public company' 'business'],1978-01-01,https://www.biogen.com/,['pharmaceutical industry'],Kenneth Murray
1151,http://www.wikidata.org/entity/Q861042,Western Union,American financial services and communications company,United States of America,['business' 'public company' 'financial institution'],1851-04-08,https://www.westernunion.com,['telecommunications' 'financial services' 'financial sector'],Jeptha Wade
1152,http://www.wikidata.org/entity/Q866899,Lanvin,French multinational high fashion house,France,['fashion house' 'business'],1889-01-01,http://www.lanvin.com/,['fashion'],Jeanne Lanvin
1153,http://www.wikidata.org/entity/Q869703,J. D. Power and Associates,company,United States of America,['enterprise' 'business'],1968-01-01,http://www.jdpower.com,['market research'],J. D. Power
1154,http://www.wikidata.org/entity/Q866991,Daiso,Japanese multinational variety store chain,Japan,['variety store chain' 'business' 'brick and mortar'],1977-12-01,https://www.daiso-sangyo.co.jp/,['variety store'],Hirotake Yano
1155,http://www.wikidata.org/entity/Q867526,Ultimate Ears,American headphone company,United States of America,['business'],1995-01-01,http://www.ultimateears.com/,['headphone' 'consumer electronics'],Jerry Harvey
1156,http://www.wikidata.org/entity/Q870335,Eberhard & Co.,company,Switzerland,['enterprise' 'business'],1887-01-01,http://www.eberhard-co-watches.ch/en/,['horology'],George-Lucien Eberhard
1157,http://www.wikidata.org/entity/Q861340,Vanke,Chinese real estate developer,People's Republic of China,['public company' 'business'],1984-01-01,http://www.vanke.com,['real estate economics'],Wang Shi
1158,http://www.wikidata.org/entity/Q864407,The Home Depot,American home improvement supplies retailing company,United States of America,['business' 'public company' 'hardware store chain'],1978-02-06,https://www.homedepot.com/,['hardware store' 'retail'],Arthur Blank
1159,http://www.wikidata.org/entity/Q868679,The Oriental Land Company,company,Japan,['public company' 'business'],1960-01-01,https://www.olc.co.jp/en/,['tourism'],Chiharu Kawasaki
1160,http://www.wikidata.org/entity/Q876574,Blum,Austrian-based multinational manufacturer of furniture hardware,Austria,['business'],1952-03-01,http://www.blum.com/,['metal industry'],Julius Blum
1161,http://www.wikidata.org/entity/Q871308,Pemex,Mexican state-owned petroleum corporation,Mexico,['gas station chain' 'business' 'state-owned enterprise'],1938-01-01,http://www.pemex.com,"['extraction of crude petroleum and natural gas' 'petroleum industry'
 'oil refining']",Lázaro Cárdenas
1162,http://www.wikidata.org/entity/Q875920,Toho,Japanese film production company,Japan,['business'],1932-08-08,https://www.toho.co.jp/,['film industry'],Ichizō Kobayashi
1163,http://www.wikidata.org/entity/Q872455,Porsche Holding,Austrian company,Austria,['business'],1949-01-01,http://www.porsche-holding.com/,['car dealership'],Louise Piëch
1164,http://www.wikidata.org/entity/Q876680,Allensbach Institute,company,Germany,['research institute' 'business'],1947-01-01,http://www.ifd-allensbach.de/,['research'],Elisabeth Noelle-Neumann
1165,http://www.wikidata.org/entity/Q873581,Dussmann,business,Germany,['business'],1963-01-01,http://www.dussmanngroup.com/,['foodservice'],Peter Dussmann
1166,http://www.wikidata.org/entity/Q872866,Dynamit Nobel,German chemical and weapons company,Germany,['enterprise' 'business'],1865-06-21,http://www.dynamit-nobel.de,['Manufacture of explosives' 'chemical industry'],Alfred Nobel
1167,http://www.wikidata.org/entity/Q874131,Virgin Australia Holdings,company,Australia,['enterprise' 'business' 'public company'],2000-01-01,http://www.virginaustralia.com/au/en/about-us/company-overview/,['aircraft industry'],Richard Branson
1168,http://www.wikidata.org/entity/Q871483,KWS Saat,plant breeding and biotechnology company,Germany,['enterprise' 'business'],1856-01-01,https://www.kws.com/,"['food and tobacco industry' 'manufacture of sugar' 'crop production'
 'agriculture']",Matthias Christian Rabbethge
1169,http://www.wikidata.org/entity/Q877536,Dell EMC,American technology company,United States of America,['enterprise' 'public company' 'business'],1979-08-01,http://www.emc.com/,['electronics' 'software industry'],Richard Egan
1170,http://www.wikidata.org/entity/Q880942,Blackstone,American alternative investment company,United States of America,['public company' 'enterprise' 'business'],1985-01-01,http://www.blackstone.com/,['financial services'],Stephen A. Schwarzman
1171,http://www.wikidata.org/entity/Q879259,Bizerba,company,Germany,['business'],1866-01-01,http://www.bizerba.de/,['machinery industry and plant construction' 'food processing'],Andreas Bizer
1172,http://www.wikidata.org/entity/Q881017,Bogner,German clothing company,Germany,['business'],1932-01-01,https://www.bogner.com/,['clothing industry'],Willy Bogner
1173,http://www.wikidata.org/entity/Q883965,KiK,German multinational chain of discount clothing and housewares stores,Germany,['business'],1994-04-01,https://www.kik.de/,['retail'],Stefan Heinig
1174,http://www.wikidata.org/entity/Q878654,Wendt & Kühn,company,Germany,['business' 'enterprise'],1915-10-01,http://www.wendt-kuehn.de,['toy industry'],Margarete Kühn
1175,http://www.wikidata.org/entity/Q885589,BlueScope Steel,Australian steel producing company,Australia,['public company' 'business' 'enterprise'],2002-01-01,https://www.bluescope.com,['ferrous metallurgy'],BHP Group
1176,http://www.wikidata.org/entity/Q883523,ECE Projektmanagement,owner of shopping malls in Germany,Germany,['business'],1965-01-01,http://www.ece.de/,['real estate economics'],Werner Otto
1177,http://www.wikidata.org/entity/Q884680,Philipp Holzmann,former German building company,Germany,['business' 'construction business'],1849-01-01,http://philipp-holzmann.de,['building construction' 'construction' 'underground construction'],Johann Philipp Holzmann
1178,http://www.wikidata.org/entity/Q878822,Karl Schuke organs,business,Germany,['business'],1950-01-01,https://schuke-berlin.de/,['musical instrument manufacturing company'],Karl Ludwig Alexander Schuke
1179,http://www.wikidata.org/entity/Q885317,Bofrost,frozen food manufacturing company,Germany,['business'],1966-01-01,https://www.bofrost.de/,['direct selling'],Josef Boquoi
1180,http://www.wikidata.org/entity/Q885836,Blue Origin,American aerospace developer and manufacturer,United States of America,['business' 'launch service provider' 'enterprise'],2000-09-01,https://www.blueorigin.com/,['aerospace manufacturer'],Jeff Bezos
1181,http://www.wikidata.org/entity/Q892825,Bonnier Group,Swedish publishing group,Sweden,['enterprise' 'book publisher' 'business'],1804-01-01,https://www.bonnier.com,"['mass media' 'real estate economics' 'publishing'
 'entertainment industry']",Gerhard Bonnier
1182,http://www.wikidata.org/entity/Q893221,Booz Allen Hamilton,technology consulting firm from the United States,United States of America,['public company' 'business'],1914-01-01,http://www.boozallen.com,['consulting company'],Carl L. Hamilton
1183,http://www.wikidata.org/entity/Q891610,Professional Fighters League,mixed martial arts combat sport promoter,United States of America,['sports league' 'enterprise' 'business' 'mixed martial arts organization'],2012-01-01,http://www.pflmma.com/,['sports marketing' 'promoter'],Donn Davis
1184,http://www.wikidata.org/entity/Q886564,Saizeriya,restaurant chain,Japan,['public company' 'business' 'brand' 'restaurant chain'],1973-01-01,https://shop.saizeriya.co.jp/,['foodservice' 'retail'],Yasuhiko Shōgaki
